analysis_set,dataset,dataset_short,subject_index,n_obs,best_AIC,best_BIC,runnerup_delta_BIC,max_BIC_weight,NLL_CostToSample,AIC_CostToSample,BIC_CostToSample,BIC_weight_CostToSample,NLL_CutOff,AIC_CutOff,BIC_CutOff,BIC_weight_CutOff,NLL_BiasedPrior,AIC_BiasedPrior,BIC_BiasedPrior,BIC_weight_BiasedPrior
trust_2,Trustworthiness dataset 2,trust_2,18,148,Biased prior,Biased prior,0.951771232043257,0.616757671880302,66.4867707041515,136.973541408303,142.967965955831,0.383212849838697,75.959462806712,155.918925613424,161.913350160952,2.94782810010688e-05,66.0108850881299,136.02177017626,142.016194723788,0.616757671880302
trust_2,Trustworthiness dataset 2,trust_2,19,140,Biased prior,Biased prior,5.37835235270026,0.936241826068493,73.7754201179896,151.550840235979,157.434125081198,0.0636053526483462,79.8066038701798,163.61320774036,169.496492585578,0.000152821283160768,71.0862439416394,146.172487883279,152.055772728497,0.936241826068493
trust_2,Trustworthiness dataset 2,trust_2,20,114,Biased prior,Biased prior,1.11397112744351,0.508041649780241,69.8390834935064,143.678166987013,149.150563883802,0.200884251872885,69.4682345061124,142.936469012225,148.408865909014,0.291074098346874,68.9112489423907,141.822497884781,147.29489478157,0.508041649780241
trust_2,Trustworthiness dataset 2,trust_2,21,237,Biased prior,Biased prior,8.84585152432169,0.988143179799706,68.5003772405283,141.000754481057,147.936874763327,0.0118568035718894,81.9776772970175,167.955354594035,174.891474876305,1.66284044643519e-08,64.0774514783675,132.154902956735,139.091023239005,0.988143179799706
trust_2,Trustworthiness dataset 2,trust_2,22,187,Cost to sample,Cost to sample,2.99576423899902,0.815252044441272,74.8703343249288,153.740668649858,160.202885883567,0.815252044441272,80.6757170639391,165.351434127878,171.813651361587,0.00245497010357781,76.3682164444283,156.736432888857,163.198650122566,0.182292985455151
trust_2,Trustworthiness dataset 2,trust_2,23,230,Biased prior,Biased prior,0.254004181388893,0.531671263977001,65.9453979084623,135.890795816925,142.766954434771,0.468259805947637,74.769083880033,153.538167760066,160.414326377912,6.89300753620017e-05,65.8183958177678,135.636791635536,142.512950253382,0.531671263977001
trust_2,Trustworthiness dataset 2,trust_2,24,197,Biased prior,Biased prior,8.42792415169055,0.985427824695133,64.4033944518871,132.806788903774,139.37319636125,0.014572173869395,80.5365254544786,165.073050908957,171.639458366433,1.43547149931234e-09,60.1894323760418,124.378864752084,130.94527220956,0.985427824695133
trust_2,Trustworthiness dataset 2,trust_2,25,70,Biased prior,Biased prior,1.42095868628685,0.618830254381746,47.1476812176895,98.295362435379,102.792352919478,0.304098501306635,48.5203026391961,101.040605278392,105.537595762491,0.0770712443116201,46.4372018745461,96.8744037490921,101.371394233191,0.618830254381746
trust_2,Trustworthiness dataset 2,trust_2,26,136,Cost to sample,Cost to sample,0.746467014659345,0.572316143823346,78.2241305695442,160.448261139088,166.273570910561,0.572316143823346,78.5973640768739,161.194728153748,167.02003792522,0.394042207959157,81.0580572775657,166.116114555131,171.941424326603,0.0336416482174971
trust_2,Trustworthiness dataset 2,trust_2,27,260,Biased prior,Biased prior,6.03046130260114,0.95325747312928,67.0341577459564,138.068315491913,145.189678753944,0.0467425267358371,86.697669001112,177.395338002224,184.516701264255,1.34883166287937e-10,64.0189270946558,132.037854189312,139.159217451343,0.95325747312928
