analysis_set,description,N_subject_rows,model_idx,model,k,sumNLL,sumAIC,sumBIC,dAIC,dBIC,group_wAIC,group_wBIC,n_bestAIC,n_bestBIC,summed_subject_BIC_weight,exp_r,xp,pxp,BOR,median_runnerup_delta_BIC,pct_runnerup_delta_BIC_gt2,pct_runnerup_delta_BIC_gt6,pct_runnerup_delta_BIC_gt10,mean_max_subject_BIC_weight
faces_all,Facial attractiveness datasets 1-3 pooled,127,3,Biased prior,2,1457.42633207596,3422.85266415193,3841.96799589175,0,0,1,1,90,90,77.464700342243,0.955153353918446,1,1,8.50026297640788e-22,2.37690808660939,55.9055118110236,8.66141732283465,3.93700787401575,0.699060183722791
match_trust_all,Matchmaker and trustworthiness datasets pooled,102,1,Cost to sample,2,5627.7925562705,11663.585112541,12275.6828192056,217.832815084475,217.832815084477,4.99120279338592e-48,4.99120279338138e-48,32,32,35.8279745249503,0.296609220161617,0.000146,0.000146002529574512,7.59204885451706e-09,4.60687823571895,76.4705882352941,38.2352941176471,15.6862745098039,0.841459615531705
match_trust_all,Matchmaker and trustworthiness datasets pooled,102,2,Cut off,2,6616.20762708276,13640.4152541655,14252.5129608302,2194.66295670901,2194.66295670901,0,0,9,9,9.54120260564218,0.070852755647469,0,2.53068295150569e-09,7.59204885451706e-09,4.60687823571895,76.4705882352941,38.2352941176471,15.6862745098039,0.841459615531705
match_trust_all,Matchmaker and trustworthiness datasets pooled,102,3,Biased prior,2,5518.87614872826,11445.7522974565,12057.8500041212,0,0,1,1,61,61,56.6308228694075,0.632538024190914,0.999854,0.999853994939743,7.59204885451706e-09,4.60687823571895,76.4705882352941,38.2352941176471,15.6862745098039,0.841459615531705
foods_vacations_all,Foods and vacations datasets pooled,215,1,Cost to sample,2,1629.23262597635,4118.46525195269,4616.19921059773,95.9737258508758,95.9737258508758,1.44401008921478e-21,1.44401008921478e-21,68,68,78.207655478935,0.234593856889392,0,3.00987977897492e-15,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
foods_vacations_all,Foods and vacations datasets pooled,215,2,Cut off,2,2115.38106750931,5090.76213501863,5588.49609366366,1068.27060891681,1068.27060891681,1.0665585068992e-232,1.06655850689823e-232,35,35,34.2011754212231,0.0491532920883809,0,3.00987977897492e-15,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
foods_vacations_all,Foods and vacations datasets pooled,215,3,Biased prior,2,1581.24576305091,4022.49152610182,4520.22548474685,0,0,1,1,112,112,102.591169099842,0.716252851022227,1,0.999999999999994,9.02963933692477e-15,1.23644646293756,33.953488372093,5.11627906976744,0.465116279069767,0.642606031591154
all_datasets,All image-task datasets pooled,444,1,Cost to sample,2,8870.04581290006,19516.0916258001,21045.0386228496,624.995138089856,624.995138089867,1.92322526505823e-136,1.92322526504773e-136,122,122,146.211821647593,0.187116935869345,0,5.62794631820039e-44,1.68838389546012e-43,1.99425516901387,50,13.7387387387387,4.95495495495495,0.704436533579114
all_datasets,All image-task datasets pooled,444,2,Cut off,2,10780.4344498604,23336.8688997207,24865.8158967702,4445.77241201046,4445.77241201048,0,0,59,59,61.1014860409142,0.0435913551781842,0,5.62794631820039e-44,1.68838389546012e-43,1.99425516901387,50,13.7387387387387,4.95495495495495,0.704436533579114
all_datasets,All image-task datasets pooled,444,3,Biased prior,2,8557.54824385513,18891.0964877103,20420.0434847598,0,0,1,1,263,263,236.686692311492,0.769291708952471,1,1,1.68838389546012e-43,1.99425516901387,50,13.7387387387387,4.95495495495495,0.704436533579114
