Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
7,1551789164265,05/03/2019 12:32:44,1551789162474,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-text,
8,1551789164265,05/03/2019 12:32:44,1551789162474,0,05/03/2019 12:32:42,6235,15,questionnaire-9o89,,2266314,BLIND,618236,Holiday destinations,complete,,5c7e6c1d212cc800017dd03f,computer,Desktop or Laptop,Windows 10,Firefox 65.0,1366x768,1366x632,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,8010
1,1551789287684,05/03/2019 12:34:47,1551789287160,0,05/03/2019 12:34:47,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,BEGIN QUESTIONNAIRE,
2,1551789310650,05/03/2019 12:35:10,1551789310582,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-3,30
3,1551789310820,05/03/2019 12:35:10,1551789310584,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4,Female
4,1551789310820,05/03/2019 12:35:10,1551789310584,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-4-quantised,2
5,1551789310820,05/03/2019 12:35:10,1551789310584,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5,United Kingdom
6,1551789310820,05/03/2019 12:35:10,1551789310584,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-quantised,5
7,1551789310820,05/03/2019 12:35:10,1551789310585,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,response-5-text,
8,1551789310820,05/03/2019 12:35:10,1551789310585,0,05/03/2019 12:35:10,6235,15,questionnaire-9o89,,2266325,BLIND,618241,Holiday destinations,complete,,5c7e6c541dd08800163cb752,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 69.0.3497.100,1366x768,1366x658,Finished phase 1,Demographics HOLIDAYS,1,,,,,Finished phase 1,,,Include,END QUESTIONNAIRE,23425
