model_idx,sub_idx,configured_Cs,configured_BP,estimated_Cs,estimated_BP,configured_mean_samples
11,1,-5.5,10,-3.89583177479598,19.3470591123645,6.82
11,2,-5.5,10,-2.16470868079716,15.6934899434279,6.82
11,3,-5.5,10,-9.33911096667914,-0.526401614757944,6.82
11,4,-5.5,10,-1.93325682228271,30.7250671043151,6.82
11,5,-5.5,10,-7.92642560414811,-31.9221961792894,6.82
11,6,-5.5,10,-8.12042901904172,-9.02631169122851,6.82
11,7,-5.5,10,-6.24363913103714,-4.60678219942827,6.82
11,8,-5.5,10,-5.03143722858263,8.66793137261919,6.82
11,9,-5.5,10,-6.04300357783774,7.69154588729137,6.82
11,10,-5.5,10,-5.4724626182204,25.2745934011422,6.82
11,11,-5.5,10,-4.41463258992954,29.2449903848561,6.82
11,12,-5.5,10,-1.21247251968683,57.1908182380769,6.82
11,13,-5.5,10,-4.05495260023295,12.3904207051065,6.82
11,14,-5.5,10,1.23752194102917,77.9922280510711,6.82
11,15,-5.5,10,-0.384357702902179,60.2132255706753,6.82
11,16,-5.5,10,-5.39197728288076,18.1675478611127,6.82
11,17,-5.5,10,-1.9229662903581,31.7367187557557,6.82
11,18,-5.5,10,-4.18465338216424,12.6410043203925,6.82
11,19,-5.5,10,-2.86787487353772,25.7698666429566,6.82
11,20,-5.5,10,-2.11623879565059,31.5410053718541,6.82
12,1,-3.375,10,-4.02321589888767,3.92331542961024,6.46
12,2,-3.375,10,-2.16470868079716,15.6934899434279,6.46
12,3,-3.375,10,-9.33911096667914,-0.526401614757944,6.46
12,4,-3.375,10,-1.93325682228271,30.7250671043151,6.46
12,5,-3.375,10,-2.94208943404652,10.550148122984,6.46
12,6,-3.375,10,-1.11713280502313,14.5524187892644,6.46
12,7,-3.375,10,-6.24363913103714,-4.60678219942827,6.46
12,8,-3.375,10,0.287581087494559,20.6699089383397,6.46
12,9,-3.375,10,-1.70257026310777,45.6937696709269,6.46
12,10,-3.375,10,-0.736038014819485,26.3295043523373,6.46
12,11,-3.375,10,-0.0610270538347777,32.882758321783,6.46
12,12,-3.375,10,-3.25157831163902,2.94915807460576,6.46
12,13,-3.375,10,-4.05495260023295,12.3904207051065,6.46
12,14,-3.375,10,-0.400274648384652,44.1918985291403,6.46
12,15,-3.375,10,-0.350861412107648,50.1433880253029,6.46
12,16,-3.375,10,-5.82629191217762,-15.348474236647,6.46
12,17,-3.375,10,-1.9229662903581,31.7367187557557,6.46
12,18,-3.375,10,-4.18465338216424,12.6410043203925,6.46
12,19,-3.375,10,-1.52792455935757,20.5223196007991,6.46
12,20,-3.375,10,2.09348440520863,47.0549520300754,6.46
13,1,-1.25,10,-1.52022176364547,10.7920244716581,5.41
13,2,-1.25,10,-2.16470868079716,15.6934899434279,5.41
13,3,-1.25,10,-0.326777823368928,15.8873328908039,5.41
13,4,-1.25,10,3.36460148877478,52.7228863634693,5.41
