Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_food1,chosen food,not chosen food,rand_food2,rand_food3,rand_food4,rand_food5,rand_food6,rand_food7,rand_food8,image_food,Participant_preference,food_rating,random number,fixation_times
36,1551714932557,04/03/2019 15:55:32,1551714931928,-5,04/03/2019 10:55:31,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,16,congratulations,Zone4,continue_button,1731,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
37,1551714933668,04/03/2019 15:55:33,1551714933173,-5,04/03/2019 10:55:33,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,17,next sequence?,advancementZone,continue_button,1241,,,0,1,0,,,,Spreadsheet1,,1,sequence,,a11.jpg,,,b18.jpg,c11.jpg,c10.jpg,b15.jpg,a4.jpg,a16.jpg,c21.jpg,,,,,
38,1551714935198,04/03/2019 15:55:35,1551714934843,-5,04/03/2019 10:55:34,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,1,option1,Zone1,response_button_text,1056,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
39,1551714935791,04/03/2019 15:55:35,1551714935453,-5,04/03/2019 10:55:35,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,2,option2,Zone1,response_button_text,601,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
40,1551714936573,04/03/2019 15:55:36,1551714936055,-5,04/03/2019 10:55:36,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,3,option3,Zone1,response_button_text,594,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
41,1551714937495,04/03/2019 15:55:37,1551714936716,-5,04/03/2019 10:55:36,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,4,option4,Zone1,response_button_text,653,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
42,1551714938151,04/03/2019 15:55:38,1551714937814,-5,04/03/2019 10:55:37,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,5,option5,Zone1,response_button_text,1089,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
43,1551714938823,04/03/2019 15:55:38,1551714938547,-5,04/03/2019 10:55:38,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,6,option6,Zone1,response_button_text,720,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
44,1551714939778,04/03/2019 15:55:39,1551714939508,-5,04/03/2019 10:55:39,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,7,option7,choice,response_button_image,950,a6.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
45,1551714940527,04/03/2019 15:55:40,1551714940172,-5,04/03/2019 10:55:40,6235,14,task-o4eu,,2260743,BLIND,616437,Food,complete,,5c7d46be6c79bb0001cd8645,computer,Desktop or Laptop,Windows 7,Firefox 65.0,1920x1080,1693x766,Finished phase 1,Food sequence,9,,,,Finished phase 1,,,Include,,,15,grey7,Zone1,continue_button,658,,,0,1,0,,,,Spreadsheet1,,1,sequence,,c28.jpg,,,b10.jpg,c29.jpg,b16.jpg,c25.jpg,a17.jpg,a6.jpg,c26.jpg,,,,,
