Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
28,1551372311950,28/02/2019 16:45:11,1551372311769,0,28/02/2019 16:45:11,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,3,option3,Zone1,response_button_text,414.85499999907915,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
29,1551372312747,28/02/2019 16:45:12,1551372312473,0,28/02/2019 16:45:12,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,4,option4,Zone1,response_button_text,679.3999999972584,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
30,1551372313153,28/02/2019 16:45:13,1551372312993,0,28/02/2019 16:45:12,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,5,option5,Zone1,response_button_text,492.0400000009977,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
31,1551372313610,28/02/2019 16:45:13,1551372313378,0,28/02/2019 16:45:13,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,6,option6,Zone1,response_button_text,355.25000000052387,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
32,1551372313966,28/02/2019 16:45:13,1551372313793,0,28/02/2019 16:45:13,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,7,option7,Zone1,response_button_text,386.73500000004424,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
33,1551372314731,28/02/2019 16:45:14,1551372314569,0,28/02/2019 16:45:14,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,8,option8,Zone1,response_button_image,745.2350000021397,Google_1_Jason Penner_7_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
34,1551372314842,28/02/2019 16:45:14,1551372314662,0,28/02/2019 16:45:14,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
35,1551372316967,28/02/2019 16:45:16,1551372316801,0,28/02/2019 16:45:16,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,rating19,response_slider_endValue,2138.184999999794,1,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
36,1551372317045,28/02/2019 16:45:17,1551372316802,0,28/02/2019 16:45:16,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,16,congratulations,Zone4,continue_button,2138.184999999794,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
37,1551372317716,28/02/2019 16:45:17,1551372317553,0,28/02/2019 16:45:17,6235,13,task-dvb3,,2241896,BLIND,610675,Faces,complete,,5c780d3cf066ff001468ca95,computer,Desktop or Laptop,Windows 7,Chrome 72.0.3626.119,1920x1080,1904x956,Finished phase 1,Male sequence,8,Male,Finished phase 1,,,,Include,,,,17,next sequence?,advancementZone,continue_button,739.5550000001094,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
