Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,rand_female_face1,rand_female_face2,rand_female_face3,rand_female_face4,rand_female_face5,rand_female_face6,rand_female_face7,rand_female_face8,chosen face,not chosen face,image_female,Participant_preference,face_rating,random number,fixation_times
21,1551370139985,28/02/2019 16:08:59,1551370138990,0,28/02/2019 16:08:58,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,15,grey7,Zone1,continue_button,1498.2600000003004,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
22,1551370140298,28/02/2019 16:09:00,1551370139213,0,28/02/2019 16:08:59,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,rating19,response_slider_initialValue,0,50,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
23,1551370145678,28/02/2019 16:09:05,1551370144688,0,28/02/2019 16:09:04,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,rating19,response_slider_endValue,5476.375000000189,54,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
24,1551370145806,28/02/2019 16:09:05,1551370144690,0,28/02/2019 16:09:04,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,16,congratulations,Zone4,continue_button,5476.375000000189,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
25,1551370147131,28/02/2019 16:09:07,1551370146066,0,28/02/2019 16:09:06,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,17,next sequence?,advancementZone,continue_button,1356.4549999991868,,,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_David Gooden_3_oval.jpg,Google_1_Katherine Alarcon_8_oval.jpg,Google_1_Jacob Mcgary_13_oval.jpg,Google_1_Amanda Hooten_5_oval.jpg,Google_1_Dolores Waldo_7_oval.jpg,Google_1_Henry Horsley_7_oval.jpg,Google_1_Gregory Driggers_9_oval.jpg,Google_1_Brandon Mai_11_oval.jpg,,,,,,,
26,1551370149496,28/02/2019 16:09:09,1551370148486,0,28/02/2019 16:09:08,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,1,option1,Zone1,response_button_text,1490.5049999997573,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_Fred Muth_9_oval.jpg,Google_1_Anthony Zeringue_13_oval.jpg,Google_1_Angelica Raley_1_oval.jpg,Google_1_Jessica Almaraz_9_oval.jpg,Google_1_Donald Meyers_13_oval.jpg,Brandon_Anglin_17_oval.jpg,Google_1_Charlene Cordova_13_oval.jpg,Google_1_Geneva Gass_1_oval.jpg,,,,,,,
27,1551370150244,28/02/2019 16:09:10,1551370149129,0,28/02/2019 16:09:09,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,2,option2,Zone1,response_button_text,600.1149999992776,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_Fred Muth_9_oval.jpg,Google_1_Anthony Zeringue_13_oval.jpg,Google_1_Angelica Raley_1_oval.jpg,Google_1_Jessica Almaraz_9_oval.jpg,Google_1_Donald Meyers_13_oval.jpg,Brandon_Anglin_17_oval.jpg,Google_1_Charlene Cordova_13_oval.jpg,Google_1_Geneva Gass_1_oval.jpg,,,,,,,
28,1551370150883,28/02/2019 16:09:10,1551370149887,0,28/02/2019 16:09:09,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,3,option3,Zone1,response_button_text,692.2200000008161,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_Fred Muth_9_oval.jpg,Google_1_Anthony Zeringue_13_oval.jpg,Google_1_Angelica Raley_1_oval.jpg,Google_1_Jessica Almaraz_9_oval.jpg,Google_1_Donald Meyers_13_oval.jpg,Brandon_Anglin_17_oval.jpg,Google_1_Charlene Cordova_13_oval.jpg,Google_1_Geneva Gass_1_oval.jpg,,,,,,,
29,1551370152204,28/02/2019 16:09:12,1551370151198,0,28/02/2019 16:09:11,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,4,option4,Zone1,response_button_text,1259.4000000008236,See next option,1,0,1,0,,,,Spreadsheet1,,1,sequence,,Google_1_Fred Muth_9_oval.jpg,Google_1_Anthony Zeringue_13_oval.jpg,Google_1_Angelica Raley_1_oval.jpg,Google_1_Jessica Almaraz_9_oval.jpg,Google_1_Donald Meyers_13_oval.jpg,Brandon_Anglin_17_oval.jpg,Google_1_Charlene Cordova_13_oval.jpg,Google_1_Geneva Gass_1_oval.jpg,,,,,,,
30,1551370156505,28/02/2019 16:09:16,1551370155490,0,28/02/2019 16:09:15,6235,13,task-iyjb,,2241064,BLIND,610321,Faces,complete,,5c7803a537d77b00168b515a,computer,Desktop or Laptop,Chromium OS 11316.148.0,Chrome 72.0.3626.117,1366x768,1366x697,Finished phase 1,Female sequence,19,Female,,Finished phase 1,,,Include,,,,5,option5,choice,response_button_image,4241.920000000391,Google_1_Donald Meyers_13_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,Google_1_Fred Muth_9_oval.jpg,Google_1_Anthony Zeringue_13_oval.jpg,Google_1_Angelica Raley_1_oval.jpg,Google_1_Jessica Almaraz_9_oval.jpg,Google_1_Donald Meyers_13_oval.jpg,Brandon_Anglin_17_oval.jpg,Google_1_Charlene Cordova_13_oval.jpg,Google_1_Geneva Gass_1_oval.jpg,,,,,,,
