Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-l5qr,checkpoint-yh8g,checkpoint-32xf,checkpoint-r79k,checkpoint-vhwm,branch-jtmv,branch-dn75,branch-6kna,Question Key,Response
6,1551369773056,28/02/2019 16:02:53,1551369772838,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5-quantised,5
7,1551369773056,28/02/2019 16:02:53,1551369772838,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,response-5-text,
8,1551369773056,28/02/2019 16:02:53,1551369772838,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,Participant_preference,Female
9,1551369773056,28/02/2019 16:02:53,1551369772838,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,Participant_preference-quantised,2
10,1551369773056,28/02/2019 16:02:53,1551369772838,0,28/02/2019 16:02:52,6235,13,questionnaire-w4aq,,2240749,BLIND,610453,Faces,complete,,5c7805eb53be070015a3e545,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1920x1080,1920x977,Finished phase 1,Demographics + preference FACES,11,Female,,Finished phase 1,,,Include,,,END QUESTIONNAIRE,18338
1,1551369923316,28/02/2019 16:05:23,1551369923074,-5,28/02/2019 11:05:23,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551369930802,28/02/2019 16:05:30,1551369930438,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-3,32
3,1551369930957,28/02/2019 16:05:30,1551369930439,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Female
4,1551369930957,28/02/2019 16:05:30,1551369930439,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,2
5,1551369930957,28/02/2019 16:05:30,1551369930439,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5,United States
6,1551369930957,28/02/2019 16:05:30,1551369930440,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,6
7,1551369930957,28/02/2019 16:05:30,1551369930440,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-text,
8,1551369930957,28/02/2019 16:05:30,1551369930440,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference,Male
9,1551369930957,28/02/2019 16:05:30,1551369930440,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference-quantised,1
10,1551369930957,28/02/2019 16:05:30,1551369930440,-5,28/02/2019 11:05:30,6235,13,questionnaire-w4aq,,2240942,BLIND,610483,Faces,complete,,5c780682f4a2010001fc7771,computer,Desktop or Laptop,Windows 8.1,Chrome 72.0.3626.119,1600x900,1600x757,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,7366
1,1551370020992,28/02/2019 16:07:00,1551370020887,0,28/02/2019 16:07:00,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370048031,28/02/2019 16:07:28,1551370047843,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-3,33
3,1551370048469,28/02/2019 16:07:28,1551370047849,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Female
4,1551370048469,28/02/2019 16:07:28,1551370047850,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,2
5,1551370048469,28/02/2019 16:07:28,1551370047851,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5,United Kingdom
6,1551370048469,28/02/2019 16:07:28,1551370047851,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,5
7,1551370048469,28/02/2019 16:07:28,1551370047851,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-text,
8,1551370048469,28/02/2019 16:07:28,1551370047851,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference,Male
9,1551370048469,28/02/2019 16:07:28,1551370047851,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,Participant_preference-quantised,1
10,1551370048469,28/02/2019 16:07:28,1551370047852,0,28/02/2019 16:07:27,6235,13,questionnaire-w4aq,,2241026,BLIND,610506,Faces,complete,,5c7806d347f72600150a8578,computer,Desktop or Laptop,Mac OS 10.14.0,Chrome 72.0.3626.119,1920x1080,1408x946,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,END QUESTIONNAIRE,26965
1,1551370206205,28/02/2019 16:10:06,1551370206747,0,28/02/2019 16:10:06,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,BEGIN QUESTIONNAIRE,
2,1551370238934,28/02/2019 16:10:38,1551370239525,0,28/02/2019 16:10:39,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-3,35
3,1551370239059,28/02/2019 16:10:39,1551370239528,0,28/02/2019 16:10:39,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4,Female
4,1551370239059,28/02/2019 16:10:39,1551370239529,0,28/02/2019 16:10:39,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-4-quantised,2
5,1551370239059,28/02/2019 16:10:39,1551370239531,0,28/02/2019 16:10:39,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5,United Kingdom
6,1551370239059,28/02/2019 16:10:39,1551370239532,0,28/02/2019 16:10:39,6235,13,questionnaire-w4aq,,2241165,BLIND,610534,Faces,complete,,5c7807ae3bc6a50015922ada,computer,Desktop or Laptop,Windows 10,Chrome 72.0.3626.119,1366x768,1366x657,Finished phase 1,Demographics + preference FACES,11,Male,Finished phase 1,,,,Include,,,response-5-quantised,5
