Subject,BestFitModel,NPositions,LinIntercept,LinSlope,LinSlopeStd,LinR2,LinBIC,QuadIntercept,QuadSlope,QuadTerm,QuadR2,QuadBIC,QuadAdvBIC,QuadAdvR2
44,Biased-prior,7,0.706850206360074,-0.0751120836029364,-0.990452006916009,0.980995178003951,-50.2540764913318,0.64233009908117,-0.0320986787503333,-0.0053766756065754,0.996074998713412,-59.3494487427169,9.09537225138506,0.0150798207094615
45,Biased-prior,7,0.803652010892373,-0.0222498492298623,-0.684339604877639,0.468320694804085,-38.7917894874419,0.648642888763993,0.0810895655223911,-0.0129174268440317,0.941867030688596,-52.3390320963689,13.547242608927,0.473546335884511
47,Biased-prior,7,0.898322461207776,-0.0412395472138846,-0.897440752508368,0.805399904262788,-40.983871437478,0.758641302432104,0.0518812253032306,-0.0116400965646394,0.997894356743203,-70.7222408810649,29.7383694435869,0.192494452480415
48,Biased-prior,7,0.791565267313059,-0.0808607862003916,-0.990800209064793,0.98168505428284,-49.4853590008852,0.718366769771814,-0.0320617878395614,-0.00609987479510379,0.998444488621096,-64.8008404102936,15.3154814094084,0.0167594343382559
49,Cost-to-sample,7,-1.64485650870244,-0.00280911128696733,-0.792422288705101,0.627933083636615,-72.3160579620012,-1.65950011338504,0.00695329183476778,-0.00122030039021687,0.983425410135431,-92.1485683176731,19.8325103556719,0.355492326498816
50,Biased-prior,7,0.897587897286052,-0.0381880955903252,-0.903335767857953,0.81601550949152,-42.544432701033,0.773072849095957,0.0448219365364045,-0.0103762540158412,0.996751588336272,-68.8553196891821,26.3108869881491,0.180736078844753
51,Biased-prior,7,0.712069141242912,0.0159886802756819,0.929058056119044,0.863148871639694,-57.1982137348108,0.687394661226417,0.0324383336200115,-0.0020562066680412,0.905975634837861,-57.8796816828188,0.681467948008077,0.0428267631981677
52,Cost-to-sample,7,2.26613410838465,-0.209898298000972,-0.999734958792983,0.999469987832807,-61.0545325196351,2.24347691367631,-0.194793501528741,-0.00188809955902893,0.999712605800147,-63.3929385693407,2.3384060497056,0.000242617967339376
53,Biased-prior,7,0.841494167413525,-0.0028018160073246,-0.168230725840481,0.0283015771168171,-43.936048424582,0.745803316052599,0.0609920848999598,-0.00797423761341056,0.716052232238766,-50.6019245837016,6.66587615911959,0.687750655121949
54,Biased-prior,7,0.816760592722809,-0.0281403789194518,-0.79350087273098,0.629643635024831,-40.1066340100401,0.672101579406391,0.068298963291494,-0.0120549177763682,0.976288439307964,-57.4002446409615,17.2936106309215,0.346644804283133
56,Biased-prior,7,0.784957292143436,-0.023147320581845,-0.707189709952852,0.500117285863202,-39.1296706328282,0.630453866957772,0.0798549628752643,-0.0128752854321387,0.964317566515096,-55.6617654189613,16.5320947861332,0.464200280651894
57,Biased-prior,7,0.837054197019883,0.0135626240917596,0.989433287051243,0.978978229525024,-73.4968998510906,0.834115039996823,0.0155220621071332,-0.000244929751921694,0.979936062809149,-71.8774315941136,-1.61946825697699,0.000957833284125131
58,Cost-to-sample,7,-98.8866601852184,8.82684024417997e-06,0.00460458986732101,2.12022478948137e-05,-74.0024324402196,-98.8750551468213,-0.0077278654245062,0.000967086533095613,0.76354626994529,-82.1503930173157,8.14796057709611,0.763525067697395
59,Biased-prior,7,0.780285565751013,-0.00145845987179253,-0.0826872500083628,0.00683718131394617,-42.9797257146101,0.67891776284865,0.0661200753964498,-0.0084473169085303,0.694929893000024,-49.2962866204709,6.31656090586085,0.688092711686078
60,Cost-to-sample,7,-99.4953393597398,-0.00350177755748869,-0.944750946974716,0.892554351807243,-80.3866191166273,-99.501464327263,0.00058153412458273,-0.000510413960258602,0.949442776111931,-83.7178639307143,3.33124481408697,0.0568884243046873
61,Cost-to-sample,7,0.815476001084048,-0.0367043256031412,-0.922769790143,0.851504085600558,-44.8972964820186,0.712523687516035,0.0319305501088677,-0.00857935946400113,0.991071239486601,-62.6303453560369,17.7330488740182,0.139567153886042
62,Biased-prior,7,0.810392997316077,0.00904618683602158,0.654338146544492,0.428158410023279,-50.2543051530078,0.757296923582289,0.0444435693252141,-0.00442467281114907,0.735454440755826,-53.704334708976,3.45002955596829,0.307296030732547
63,Cost-to-sample,7,0.250108846843331,-0.00132113299139035,-0.557921181685861,0.311276044973762,-73.6547143921999,0.243320002975169,0.00320476292071728,-0.000565736989013459,0.482515181033466,-73.7098267318499,0.0551123396499378,0.171239136059704
64,Cost-to-sample,7,2.98365953667443,-0.303442252249771,-0.999969683270756,0.999939367460618,-71.0743421512728,2.97258808318184,-0.296061283254709,-0.000922621124382717,0.999967099997753,-73.4079448370801,2.33360268580726,2.77325371352832e-05
