Subject,BestFitModel,Source,NObs,MeanStop,LTM_Intercept,LTM_Slope,LTM_Beta,LTM_NLL,LTM_BIC,LTM_Converged,ITM_Beta,ITM_NLL,ITM_BIC,ITM_Converged,LTM_T1,LTM_T2,LTM_T3,LTM_T4,LTM_T5,LTM_T6,LTM_T7,ITM_T1,ITM_T2,ITM_T3,ITM_T4,ITM_T5,ITM_T6,ITM_T7,LinearAdvantageBIC,DeltaNLL_ITMminusLTM
26,Cost-to-sample,Participants,134,0.283582089552239,4.99999999999998,-0.817573191166146,0.261340040162999,78.5587342411975,171.810987882248,1,0.425081836382225,73.6675801629968,186.517878725601,1,4.99999999999998,4.18242680883383,3.36485361766768,2.54728042650154,1.72970723533539,0.912134044169246,0.0945608530030997,2.18329620975818,4.99999999990487,2.67219946589659,0.654614037530643,-0.587049659625303,3.34533619577685,-0.805240422508512,14.7068908433532,-4.89115407820066
26,Cost-to-sample,Winning model,280,0.33027777409579,4.99999999999999,-0.675692178806667,0.226691519990835,175.477319698257,367.859008206023,1,0.209268653686639,175.214612463624,395.507541752602,1,4.99999999999999,4.32430782119332,3.64861564238665,2.97292346357999,2.29723128477332,1.62153910596665,0.945846927159986,5,4.99999999999879,4.11780254860106,3.68654705017142,2.39221036902498,1.92593094056307,0.60314435573396,27.6485335465792,-0.262707234633524
27,Biased-prior,Participants,234,0.0598290598290598,5,0.106559581904504,0.526393522294887,53.6408195567283,123.64760245953,1,0.784931204717044,50.5337739502663,144.710116823394,1,5,5.1065595819045,5.21311916380901,5.31967874571351,5.42623832761801,5.53279790952252,5.63935749142702,2.79804239758245,5,4.74210090138088,3.22363577111325,3.46059476560012,5,3.04060299860618,21.0625143638647,-3.10704560646194
27,Biased-prior,Winning model,280,0.113659098471244,4.11283258132599,-0.426037056049781,0.872292614741608,84.3533104023526,185.610989614213,1,0.873176557826315,84.208406038218,213.49512890179,1,4.11283258132599,3.68679552527621,3.26075846922643,2.83472141317665,2.40868435712686,1.98264730107708,1.5566102450273,4.46229327338082,3.67404356588732,3.08918654154473,2.71087836197596,2.3444964396077,2.12207975257312,1.54195274781035,27.8841392875771,-0.14490436413459
28,Biased-prior,Participants,45,0.888888888888889,-4.99999999999999,1.81280947708957,0.547673625323643,11.9386057821181,35.2971990335471,1,0.741298083009363,5.51630049339419,41.4859009049509,1,-4.99999999999999,-3.18719052291043,-1.37438104582086,0.438428431268709,2.25123790835828,4.06404738544784,5.87685686253741,-5,5,4.9999999999995,5,5,-5,5,6.18870187140387,-6.42230528872386
28,Biased-prior,Winning model,280,0.723400107449125,-1.15206618057822,0.0966077223856567,1.83151756612982,110.042503670186,236.98937614988,1,2.0331449626734,101.943632176943,248.965581179239,1,-1.15206618057822,-1.05545845819256,-0.958850735806903,-0.862243013421246,-0.765635291035589,-0.669027568649933,-0.572419846264276,-1.89335314934384,-0.961878242528004,-0.612075647665426,-0.504527274785332,-0.588902911426742,-0.567105059528869,-1.06091541504938,11.9762050293595,-8.09887149324337
29,Biased-prior,Participants,212,0.0943396226415094,2.04625364231327,0.0701161239443255,1.4966093958046,41.0171993018495,98.1041574277151,1,1.62158141581872,38.7742006353031,120.401091467982,1,2.04625364231327,2.1163697662576,2.18648589020192,2.25660201414625,2.32671813809058,2.3968342620349,2.46695038597923,2.21385565484729,2.11057618079965,1.56439037974051,1.85558665736078,2.56528956409107,3.24879237295769,2.14340533873941,22.2969340402673,-2.2429986665464
29,Biased-prior,Winning model,280,0.108295679016883,5,-0.363883525425728,0.592907047953695,89.1094246080092,195.123218025526,1,0.595642629180405,88.7883838454773,222.655084516309,1,5,4.63611647457427,4.27223294914854,3.90834942372281,3.54446589829709,3.18058237287136,2.81669884744563,4.99999999999982,4.56779707433728,4.03775803377934,3.94583451517811,3.54934256556054,3.69893963394581,2.51004518714706,27.5318664907823,-0.321040762531979
30,Cost-to-sample,Participants,201,0.174129353233831,2.94798816901319,-0.52017218839281,1.28201692916618,67.7722882540229,151.454491232223,1,1.34319004975583,64.5912410523516,171.608921369176,1,2.94798816901319,2.42781598062038,1.90764379222757,1.38747160383476,0.867299415441949,0.347127227049139,-0.17304496134367,2.12022518228606,3.10418931495508,2.02237800391052,1.30427026877974,1.2952385354532,0.286315991934618,-0.7463216268859,20.1544301369528,-3.18104720167126
30,Cost-to-sample,Winning model,280,0.207948006371176,2.71021553958006,-0.419720256951567,1.3122800132876,105.789257632828,228.482884075164,1,1.31017555372297,105.735548612497,256.549414050349,1,2.71021553958006,2.2904952826285,1.87077502567693,1.45105476872536,1.0313345117738,0.611614254822228,0.19189399787066,2.7252033302882,2.29298203577051,1.81697446361035,1.45658467985689,1.07976542904364,0.662347178812825,0.141020592734265,28.0665299751844,-0.0537090203309134
32,Biased-prior,Participants,70,0.5,-1.54247080967404,3,1.27692946251065,16.3983328552066,45.5421514365613,1,1.03261941438207,14.6932174541837,63.3743968447623,1,-1.54247080967404,1.45752919032596,4.45752919032596,7.45752919032596,10.457529190326,13.457529190326,16.457529190326,-2.04551533045646,5,5,5,5,5,4.99999999999996,17.8322454082011,-1.70511540102287
32,Biased-prior,Winning model,280,0.517788064543445,0.0881150885445487,-0.0792512671862653,0.547696331412214,184.493709295072,385.891787399651,1,0.537819656548565,183.608737821429,412.295792468212,1,0.0881150885445487,0.00886382135828345,-0.0703874458279818,-0.149638713014247,-0.228889980200512,-0.308141247386778,-0.387392514573043,-0.360294799556485,0.00910006257343809,0.0950966185474584,0.362847779769836,-0.0678713044397448,-0.364313835034475,-0.775628481367481,26.4040050685605,-0.884971473642878
33,Cost-to-sample,Participants,280,0,2.42358585097608,2.72982072669516,30.8064973209581,2.80000002806933e-06,16.9043744095078,1,30.8064973209581,2.80000002806933e-06,45.0783224253541,1,2.42358585097608,5.15340657767124,7.8832273043664,10.6130480310616,13.3428687577567,16.0726894844519,18.802510211147,2.42358585097608,4.9999,4.9999,4.9999,4.9999,4.9999,4.9999,28.1739480158462,0
33,Cost-to-sample,Winning model,280,3.95434756272592e-26,2.42358585097608,2.72982072669516,30.8064973209581,2.80000002806933e-06,16.9043744095078,1,30.8064973209581,2.80000002806933e-06,45.0783224253541,1,2.42358585097608,5.15340657767124,7.8832273043664,10.6130480310616,13.3428687577567,16.0726894844519,18.802510211147,2.42358585097608,4.9999,4.9999,4.9999,4.9999,4.9999,4.9999,28.1739480158462,0
34,Cost-to-sample,Participants,166,0.210843373493976,1.86380416515382,-0.124330176846132,1.16171940037449,64.6459916111453,144.62794658736,1,1.29029202988896,60.3870271948978,161.669956696648,1,1.86380416515382,1.73947398830769,1.61514381146156,1.49081363461543,1.3664834577693,1.24215328092316,1.11782310407703,1.28566064121859,2.02883287021316,1.34737361881116,2.43512527573373,1.71980745046429,0.763625329002573,0.377692251079196,17.0420101092878,-4.25896441624748
34,Cost-to-sample,Winning model,280,0.255411928829471,2.5370359103781,-0.383568197221792,1.03301870129039,124.217795016769,265.339958843045,1,1.04352592965851,124.042344667895,293.163006161145,1,2.5370359103781,2.15346771315631,1.76989951593452,1.38633131871272,1.00276312149093,0.61919492426914,0.235626727047348,2.41389477563181,2.11185733848432,1.71540191166094,1.45361544862423,1.09524694326018,0.693209370239581,0.106628318495781,27.8230473180995,-0.175450348873397
35,Cost-to-sample,Participants,55,0.690909090909091,-1.54631319195592,1.51090469041146,2.5178320041835,14.7042174914974,41.4304345386922,1,2.29815164895192,14.0782214231477,60.2151083281551,1,-1.54631319195592,-0.0354085015444574,1.475496188867,2.98640087927846,4.49730556968992,6.00821026010138,7.51911495051284,-1.64651125138056,0.357399196129437,1.01633705400562,4.99999997505386,4.99999982863181,5,5,18.7846737894629,-0.625996068349732
35,Cost-to-sample,Winning model,280,0.690750764217692,-4.99999999999994,-0.144359641984602,0.143094569271093,173.863145070794,364.630658951096,1,0.155075158449048,173.918709839833,392.915736505021,1,-4.99999999999994,-5.14435964198454,-5.28871928396915,-5.43307892595375,-5.57743856793835,-5.72179820992295,-5.86615785190756,-5,-5,-4.99999999999907,-5,-5,-5,-4.9999999999997,28.2850775539248,0.0555647690392505
36,Biased-prior,Participants,171,0.192982456140351,1.64923775551773,-0.170349296243066,1.7675371939404,56.7878637428327,129.000718155173,1,2.04030666008856,51.7563761589026,144.646060769826,1,1.64923775551773,1.47888845927467,1.3085391630316,1.13818986678854,0.967840570545469,0.797491274302403,0.627141978059337,1.22566662785219,1.68008357703213,1.52902584854155,1.04388556052392,1.71843703645656,0.158516534966059,0.328178003639422,15.6453426146531,-5.03148758393012
36,Biased-prior,Winning model,280,0.245600602205611,2.10143603252788,-0.30957164746324,1.36462953260329,115.067257252119,247.038883313746,1,1.3706856123962,114.819988839651,274.718294504655,1,2.10143603252788,1.79186438506464,1.4822927376014,1.17272109013816,0.863149442674917,0.553577795211677,0.244006147748437,2.10485467880884,1.62972180943501,1.50597075059189,1.24064539433994,0.934107919926912,0.610135977305037,0.130664780764864,27.6794111909089,-0.247268412468685
37,Cost-to-sample,Participants,196,0.142857142857143,2.29352099745078,-0.212429424799657,1.44747517417542,62.0794057684572,139.993155514606,1,1.5174189275028,57.6785382750297,157.581993823903,1,2.29352099745078,2.08109157265112,1.86866214785147,1.65623272305181,1.44380329825215,1.2313738734525,1.01894444865284,1.8337883584754,2.88469025471964,1.65441101859881,2.23809909241014,1.72902215736982,0.602666132463174,1.02017690015024,17.5888383092974,-4.40086749342756
37,Cost-to-sample,Winning model,280,0.191507096880652,3.35516378654529,-0.498926943830529,1.04677917483764,107.925893323619,232.756155456747,1,1.05822331692774,107.829391286396,260.737099398146,1,3.35516378654529,2.85623684271477,2.35730989888424,1.85838295505371,1.35945601122318,0.86052906739265,0.361602123562121,3.36006654649403,2.82248261787205,2.27205826518983,1.80039887650981,1.42786092591366,0.945508706093467,0.277974517018743,27.9809439413994,-0.096502037223388
