BestFitModel,Source,Position,ValueBin,Success,Trials,PropStop
Cost-to-sample,Winning model,5,2,3.25976870118095,15,0.217317913412063
Cost-to-sample,Winning model,5,3,2.66518443000971,22,0.121144746818623
Cost-to-sample,Winning model,5,4,3.34066405344859,21,0.159079240640409
Cost-to-sample,Winning model,5,5,2.63951792425053,17,0.155265760250031
Cost-to-sample,Winning model,5,6,3.97245901381033,27,0.147128111622605
Cost-to-sample,Winning model,5,7,4.98883657310593,31,0.160930212035675
Cost-to-sample,Winning model,5,8,8.2232016954426,33,0.249187930164927
Cost-to-sample,Winning model,5,9,15.995498921278,49,0.326438753495469
Cost-to-sample,Winning model,5,10,16.0674057134871,45,0.357053460299714
Cost-to-sample,Winning model,5,11,8.15674798364256,31,0.263120902698147
Cost-to-sample,Winning model,5,12,4.39091888594044,25,0.175636755437617
Cost-to-sample,Winning model,6,1,0.337761544669188,5,0.0675523089338377
Cost-to-sample,Winning model,6,2,1.01525020991195,9,0.112805578879105
Cost-to-sample,Winning model,6,3,2.66173294656865,15,0.177448863104577
Cost-to-sample,Winning model,6,4,3.49134931526036,18,0.193963850847798
Cost-to-sample,Winning model,6,5,3.61349637697962,21,0.172071256046649
Cost-to-sample,Winning model,6,6,4.35041252048269,19,0.228969080025405
Cost-to-sample,Winning model,6,7,6.5851850950807,29,0.227075348106231
Cost-to-sample,Winning model,6,8,5.10009072446772,16,0.318755670279233
Cost-to-sample,Winning model,6,9,14.8095516686649,40,0.370238791716621
Cost-to-sample,Winning model,6,10,19.5818299521489,44,0.445041589821567
Cost-to-sample,Winning model,6,11,5.83389360342126,21,0.277804457305774
Cost-to-sample,Winning model,6,12,1.71045928880792,17,0.100615252282819
Cost-to-sample,Winning model,7,1,0.52022632504066,2,0.26011316252033
Cost-to-sample,Winning model,7,2,2.52570151150375,8,0.315712688937969
Cost-to-sample,Winning model,7,3,4.10552059160199,14,0.293251470828714
Cost-to-sample,Winning model,7,4,4.53970853811713,15,0.302647235874476
Cost-to-sample,Winning model,7,5,5.8505518765777,15,0.390036791771847
Cost-to-sample,Winning model,7,6,4.87566926854501,14,0.348262090610358
Cost-to-sample,Winning model,7,7,5.96189309816867,17,0.350699594009922
Cost-to-sample,Winning model,7,8,5.97375031180675,19,0.314407911147724
Cost-to-sample,Winning model,7,9,8.38608854336909,24,0.349420355973712
Cost-to-sample,Winning model,7,10,14.6645682676222,34,0.431310831400654
Cost-to-sample,Winning model,7,11,7.77327224224158,23,0.337968358358329
Cost-to-sample,Winning model,7,12,3.64172463477408,17,0.214219096163181
Biased-prior,Participants,1,1,7,30,0.233333333333333
Biased-prior,Participants,1,2,6,67,0.0895522388059701
Biased-prior,Participants,1,3,38,117,0.324786324786325
Biased-prior,Participants,1,4,55,221,0.248868778280543
Biased-prior,Participants,1,5,64,227,0.281938325991189
Biased-prior,Participants,1,6,67,199,0.336683417085427
Biased-prior,Participants,1,7,42,175,0.24
Biased-prior,Participants,1,8,39,124,0.314516129032258
Biased-prior,Participants,1,9,45,116,0.387931034482759
Biased-prior,Participants,1,10,42,103,0.407766990291262
Biased-prior,Participants,1,11,27,61,0.442622950819672
Biased-prior,Participants,1,12,25,40,0.625
Biased-prior,Participants,2,1,2,22,0.0909090909090909
Biased-prior,Participants,2,2,2,61,0.0327868852459016
Biased-prior,Participants,2,3,0,110,0
