Subject,Model,BestFitModel,MeanLinearSlope,MeanLinearR2,MeanQuadTerm,MeanQuadR2,MeanDeltaBIC_QuadMinusLinear,NSequencesLinear,NSequencesQuadratic
22,Cost-to-sample,Cost-to-sample,-0.0983303391719275,0.99270202610559,-0.00421433257027828,0.997342552953114,-21.4283053794691,35,32
23,Biased-prior,Biased-prior,-0.00806553165452061,0.53091926673862,-0.010074308371082,0.917757841951825,-18.5239449630753,38,35
23,Cost-to-sample,Biased-prior,-0.158942620443327,0.992733286807827,-0.00816047700334876,0.998086413635527,-15.1893866390776,38,35
24,Biased-prior,Biased-prior,-0.014412606257969,0.55260423638862,-0.0126873283789601,0.941883776317913,-21.3250529648392,35,32
24,Cost-to-sample,Biased-prior,-0.0814208221198075,0.965291699213398,-0.00991294151899567,0.992838450423523,-19.8715656556469,35,32
25,Biased-prior,Biased-prior,-0.0919689541296817,0.988174638031058,-0.00333452238058531,0.981930683664289,-65.0870509253415,20,5
25,Cost-to-sample,Biased-prior,0.000162786042864719,0.945239349775131,-0.00650809037709876,0.978347800456086,-57.8038660811469,20,5
26,Biased-prior,Cost-to-sample,0.015632624651365,0.896803603243217,-6.65095843576623e-05,0.968318068235477,-22.9669044626615,28,26
26,Cost-to-sample,Cost-to-sample,-32.287744833889,0.99999990789498,0.00456016444711738,0.999999974248355,-23.1333375503931,28,26
27,Biased-prior,Biased-prior,0.0126611259865826,0.670827360015579,-0.00189699870334983,0.865480128577992,-6.17862005651996,35,35
27,Cost-to-sample,Biased-prior,-1.28477295024478,0.999938562456062,-0.000308851912856245,0.999979440743408,-5.48026612992353,35,35
28,Biased-prior,Biased-prior,-0.0689737243609515,0.932107338482591,-0.0122260462205331,0.99458566073401,-13.3815031135161,1,1
28,Cost-to-sample,Biased-prior,-0.00238958513014292,0.427538700985508,0.00114423967194834,0.636671977039914,-0.936074905331793,1,1
29,Biased-prior,Biased-prior,0.0138111317300025,0.78252894655794,-0.00136372026198986,0.887412600174693,-13.0244142787599,36,34
29,Cost-to-sample,Biased-prior,-0.182947002151028,0.992891762876229,-0.00912309077878766,0.998119054909246,-16.6675414926706,36,34
30,Biased-prior,Cost-to-sample,-0.0141971381118221,0.641323761044342,-0.00903612094121128,0.967566487498672,-23.445585174761,36,35
30,Cost-to-sample,Cost-to-sample,-0.0922675405425501,0.985930029377937,-0.00667641713266718,0.995810555372527,-16.006643937128,36,35
31,Biased-prior,Cut off,0.0164636004061919,0.763482520415281,-0.00136554165570839,0.889139754378462,-9.41086788577687,35,35
31,Cost-to-sample,Cut off,-0.295927276921247,0.999063561914354,-0.00375731440929299,0.999631654357307,-10.0942723929617,35,35
32,Biased-prior,Biased-prior,-0.0636068288925563,0.882559244761977,-0.0102599157542015,0.982931114585068,-10.8943465933755,5,5
32,Cost-to-sample,Biased-prior,-0.00946062439520622,0.506194801271679,-0.00512551889874269,0.755655104573024,-2.44405183231591,5,5
33,Biased-prior,Cost-to-sample,0.0113616790395122,0.821430374007762,-0.000403937983963563,0.924614574691928,-5.61490155143249,40,40
33,Cost-to-sample,Cost-to-sample,-15.6483541924963,0.999999441643883,0.00153843067110163,0.999999691191196,-2.4042938327556,40,40
34,Biased-prior,Cost-to-sample,-0.0197798902073665,0.66679437494419,-0.0177842395127563,0.939045513892377,-25.1774303283732,32,28
34,Cost-to-sample,Cost-to-sample,-0.0682889547665312,0.911382027661268,-0.0190023920769874,0.982809424187318,-25.7870131529112,32,28
35,Biased-prior,Cost-to-sample,-0.0467541498858494,0.944770368826041,-0.0108953517250223,0.995483425657083,-36.9774143140244,4,3
35,Cost-to-sample,Cost-to-sample,-0.00502081551367908,0.568442706235769,-0.00776618952235123,0.884522201413656,-29.9030859706601,4,3
36,Biased-prior,Biased-prior,-0.0197767268280149,0.583892520057464,-0.0142462100012266,0.94960153017821,-22.4723493029975,31,28
36,Cost-to-sample,Biased-prior,-0.0766506284031123,0.946048201424194,-0.0130850583348417,0.989921900768017,-19.5654926767232,31,28
37,Biased-prior,Cost-to-sample,0.00357346243012083,0.54240756208942,-0.00590556980596281,0.8828875775768,-16.682578415427,34,33
37,Cost-to-sample,Cost-to-sample,-0.122796092542246,0.987939064415667,-0.00792175835504306,0.997252342393731,-17.932573290727,34,33
38,Biased-prior,Cut off,0.0129378607064753,0.932406268569474,-0.00108597078456874,0.987713138691198,-17.7300392439477,32,30
38,Cost-to-sample,Cut off,-1.62872704366646,0.999967434588317,-0.000514194002357932,0.999985439399716,-16.2727198550564,32,30
39,Biased-prior,Cost-to-sample,0.00679649176861941,0.728970780952625,-0.00102528335467899,0.876430206486385,-13.096217119198,35,34
39,Cost-to-sample,Cost-to-sample,-0.24890979186375,0.998410388073609,0.000795054428024376,0.999167707203869,-15.0633320804969,35,34
40,Biased-prior,Biased-prior,-0.0121825203922764,0.499950723912795,-0.0132245004709339,0.926885147329801,-23.1699659854999,34,29
40,Cost-to-sample,Biased-prior,-0.117146318844848,0.98294126856783,-0.0103115669610454,0.995623971140272,-18.2777697145628,34,29
41,Biased-prior,Biased-prior,0.0105813376250887,0.679899447369725,-0.00239203049386079,0.855011612182324,-11.7065898461561,39,36
41,Cost-to-sample,Biased-prior,-0.20848303968231,0.997343622875486,-0.00604480474049217,0.999170477572483,-13.0515185811673,39,36
42,Biased-prior,Biased-prior,0.00285490453532506,0.79438141636297,-0.00592270640895869,0.983488213262691,-33.9808011053204,29,15
42,Cost-to-sample,Biased-prior,-0.0562176333875277,0.990781181938034,-0.00606883675257501,0.996320026730348,-27.1007988219308,29,15
43,Biased-prior,Biased-prior,-0.00939151392494719,0.469315087719521,-0.0127678219025699,0.90367823902113,-19.8007838172294,36,36
43,Cost-to-sample,Biased-prior,-0.169787817801832,0.985192744526978,-0.0149250642331562,0.996992119898005,-16.5433613908773,36,36
44,Biased-prior,Biased-prior,-0.0866058448636235,0.918950557046936,-0.00982379567891721,0.988027076794459,-6.24425897951004,2,2
44,Cost-to-sample,Biased-prior,-0.00713929222017404,0.211291900494524,-0.00689357239434031,0.655922709360155,-4.21819047419207,2,2
