Subject,Model,BestFitModel,Mode,NPoints,LinearIntercept,LinearSlope,LinearR2,LinearSSE,LinearAIC,LinearBIC,QuadIntercept,QuadSlope,QuadTerm,QuadR2,QuadSSE,QuadAIC,QuadBIC,DeltaBIC_QuadMinusLinear
24,Cost-to-sample,Biased-prior,absolute,7,1.26503702557212,-0.091218823377188,0.970854125643403,0.00699439365300713,-44.3598955461478,-44.4680752480371,1.15827524499071,-0.0200443029895816,-0.00889681504845083,0.998560227584693,0.000345514940474552,-63.414693751862,-63.5769633046961,-19.1088880566589
25,Biased-prior,Biased-prior,absolute,7,0.687726431713867,-0.0980271769055318,0.999305472485251,0.000187000260832069,-69.7121748673945,-69.8203545692839,0.695372252813089,-0.10312439097168,0.000637151758268482,0.999432124557858,0.000152899422334638,-69.1214826050614,-69.2837521578955,0.536602411388429
25,Cost-to-sample,Biased-prior,absolute,7,-0.00645185421517291,-0.00265314184970092,0.477317882813514,0.000215828557182078,-68.7085543187148,-68.8167340206042,-0.02426129719714,0.00921982013827713,-0.00148412024849726,0.925388227156589,3.08090725741149e-05,-80.3352804742463,-80.4975500270804,-11.6808160064762
26,Biased-prior,Cost-to-sample,absolute,7,0.755443616175306,0.00571607058061668,0.14031691308116,0.00560507667111836,-45.9099488478444,-46.0181285497337,0.677319924637088,0.0577985316060954,-0.00651030762818484,0.686375363333012,0.00204481181637584,-50.9685176487631,-51.1307872015972,-5.11265865186343
26,Cost-to-sample,Cost-to-sample,absolute,7,258.683739532732,-32.2836758516176,0.999999996125805,0.000113059074899613,-73.2345716673326,-73.342751369222,258.673222144427,-32.2766642594145,-0.000876449025387943,0.999999998336907,4.8533391796465e-05,-77.1541805872984,-77.3164501401325,-3.97369877091045
27,Biased-prior,Biased-prior,absolute,7,0.829862165196302,0.010892963297923,0.656093773300351,0.00174150303279222,-54.092418130126,-54.2005978320154,0.792955128907048,0.0354976541574256,-0.00307558635743783,0.813003888667808,0.000946927591659384,-56.3573865426241,-56.5196560954582,-2.31905826344274
27,Cost-to-sample,Biased-prior,absolute,7,10.8003548043917,-1.28503129468445,0.999998281083303,7.94769178552477e-05,-75.7016784827197,-75.8098581846091,10.7954717678435,-1.28177593698563,-0.000406919712352223,0.99999858190597,6.55678910619949e-05,-75.0483421749068,-75.2106117277409,0.599246456868201
28,Biased-prior,Biased-prior,absolute,7,0.861861352139313,-0.0772659401486662,0.93693561085365,0.0112514544308277,-41.0321761750215,-41.1403558769109,0.727905534701547,0.0120379381431782,-0.0111629847864806,0.995605528636154,0.000784027165999253,-57.6788392573217,-57.8411088101558,-16.7007529332449
28,Cost-to-sample,Biased-prior,absolute,7,-86.2919981515489,-0.00310023212654929,0.93269615660981,1.94198617705204e-05,-85.5658705345223,-85.6740502364117,-86.2964467864043,-0.000134475556293606,-0.000370719571281099,0.972705741503725,7.87548972580324e-06,-89.883657357865,-90.0459269106991,-4.37187667428744
29,Biased-prior,Biased-prior,absolute,7,0.736684089086541,0.0121840328736848,0.752528527720009,0.00136691758084605,-55.7877501487414,-55.8959298506308,0.7056948725308,0.0328435105775124,-0.00258243471297847,0.853947872518121,0.000806724180915177,-57.4790721629639,-57.641341715798,-1.74541186516716
29,Cost-to-sample,Biased-prior,absolute,7,1.96116939876179,-0.186413173516606,0.997354653539905,0.00258073952013275,-51.3391260412601,-51.4473057431494,1.89753274785446,-0.143988739578385,-0.00530305424227768,0.99977607179235,0.000218459239223521,-66.6237488064363,-66.7860183592703,-15.3387126161209
30,Biased-prior,Cost-to-sample,absolute,7,0.938368174832329,-0.0327452522534317,0.69234879197579,0.0133410004260377,-39.8397637713442,-39.9479434732336,0.790692653817853,0.0657050950895522,-0.012306293417873,0.985710917902913,0.000619632380347833,-59.3260603783111,-59.4883299311452,-19.5403864579115
30,Cost-to-sample,Cost-to-sample,absolute,7,1.40910667459308,-0.101912715762671,0.984487126998054,0.00458244199453724,-47.3200336979724,-47.4282133998618,1.3271101437178,-0.0472483618458147,-0.0068330442396071,0.997764220444448,0.000660440533781308,-58.8795953346488,-59.0418648874828,-11.613651487621
31,Biased-prior,Cut off,absolute,7,0.783597177128799,0.0150311428793257,0.8508114067393,0.00110928809593132,-57.249628814403,-57.3578085162924,0.757403332302889,0.0324937060965993,-0.00218282040215921,0.904639198196089,0.000709052883652398,-58.3824341593762,-58.5447037122102,-1.18689519591783
31,Cost-to-sample,Cut off,absolute,7,2.86289048732439,-0.297499338327762,0.999791874861929,0.000515875586461072,-62.6088855748374,-62.7170652767268,2.83456569521571,-0.278616143588644,-0.00236039934238985,0.999980686960539,4.78708417945398e-05,-77.2503988313022,-77.4126683841363,-14.6956031074095
32,Biased-prior,Biased-prior,absolute,7,0.769666366632245,-0.0626235365970522,0.901602952045388,0.0119839491095232,-40.590680734647,-40.6988604365364,0.629631517149191,0.0307330297249839,-0.0116695707902545,0.99552578097199,0.000544922985507276,-60.2254336333625,-60.3877031861966,-19.6888427496602
32,Cost-to-sample,Biased-prior,absolute,7,0.322941325522309,-0.00959924150921127,0.475276219044282,0.00284850201351904,-50.6481052686061,-50.7562849704955,0.255205389619904,0.0355580490923921,-0.00564466132520043,0.968301605335452,0.000172077089517136,-68.2943469502387,-68.4566165030728,-17.7003315325773
33,Biased-prior,Cost-to-sample,absolute,7,0.892156157956122,0.0113616790395122,0.979156705623049,7.6940893300878e-05,-75.9286823958399,-76.0368620977293,0.88730890214856,0.0145931829112208,-0.000403937983963588,0.982869644597593,6.32349581302399e-05,-75.3019439667217,-75.4642135195558,0.572648578173542
33,Cost-to-sample,Cost-to-sample,absolute,7,125.785311916762,-15.6483541924963,0.999999968657409,0.000214896960235417,-68.7388343394311,-68.8470140413205,125.803773084816,-15.6606616378651,0.00153843067110211,0.999999997653521,1.60883701328705e-05,-84.8832683363269,-85.045537889161,-16.1985238478405
34,Biased-prior,Cost-to-sample,absolute,7,0.84267203695743,-0.0423881888640785,0.811410174716997,0.0116929895526785,-40.7627316454338,-40.8709113473231,0.701336213686036,0.0518356933168507,-0.0117779852726162,0.999347913157606,4.04308377936719e-05,-78.4327953105151,-78.5950648633492,-37.724153516026
34,Cost-to-sample,Cost-to-sample,absolute,7,1.13155739522636,-0.0851468061731027,0.961312461467825,0.00816960921329367,-43.272710465538,-43.3808901674274,1.01334306383973,-0.00633725191534834,-0.00985119428221931,0.999915978223971,1.77427952671143e-05,-84.1980882175962,-84.3603577704302,-40.9794676030028
35,Biased-prior,Cost-to-sample,absolute,7,0.806760761601166,-0.0656264007355791,0.906837666663486,0.0123887078087203,-40.3581602164176,-40.4663399183069,0.664658617381303,0.0291083620776626,-0.0118418453516552,0.995416999209179,0.000609446496788807,-59.4420868086033,-59.6043563614374,-19.1380164431305
35,Cost-to-sample,Cost-to-sample,absolute,7,-99.5597744980035,-0.0051689718894879,0.907674596793896,7.60952247460156e-05,-76.0060463569124,-76.1142260588018,-99.5700074976649,0.00165302788468474,-0.000852749971769359,0.981786253624084,1.50118935397251e-05,-85.368045422152,-85.530314974986,-9.41608891618419
