Subject,BestFitModel,Position,MeanThreshold,NObs
54,Biased-prior,5,0.720715221675684,40
54,Biased-prior,6,0.6653128065187,40
54,Biased-prior,7,0.54591267667482,40
56,Biased-prior,1,0.709531032425375,40
56,Biased-prior,2,0.727909236219285,40
56,Biased-prior,3,0.740637648356677,40
56,Biased-prior,4,0.742510051582186,40
56,Biased-prior,5,0.719016902681206,40
56,Biased-prior,6,0.66300625324449,40
56,Biased-prior,7,0.543964944203175,40
57,Biased-prior,1,0.850918286186871,40
57,Biased-prior,2,0.864125334720128,40
57,Biased-prior,3,0.876021269104259,40
57,Biased-prior,4,0.889600899317393,40
57,Biased-prior,5,0.90603557995629,40
57,Biased-prior,6,0.926549761552421,40
57,Biased-prior,7,0.925881722871089,40
59,Biased-prior,1,0.751733080821701,40
59,Biased-prior,2,0.767306416428813,40
59,Biased-prior,3,0.782300453546825,40
59,Biased-prior,4,0.798528309559555,40
59,Biased-prior,5,0.814667273528451,40
59,Biased-prior,6,0.803271270953755,40
59,Biased-prior,7,0.703355279007801,40
62,Biased-prior,1,0.807292466179429,40
62,Biased-prior,2,0.82226273261428,40
62,Biased-prior,3,0.838562676763662,40
62,Biased-prior,4,0.85684765843581,40
62,Biased-prior,5,0.877218371792332,40
62,Biased-prior,6,0.89054052036012,40
62,Biased-prior,7,0.833319786475513,40
