Subject,Model,BestFitModel,Position,MeanThreshold,NObs
11,Cost-to-sample,Biased-prior,4,0.987789424862176,40
11,Cost-to-sample,Biased-prior,5,0.881686636842334,40
11,Cost-to-sample,Biased-prior,6,0.75279410433322,40
11,Cost-to-sample,Biased-prior,7,0.584839323130564,40
12,Biased-prior,Biased-prior,1,0.627787323323101,40
12,Biased-prior,Biased-prior,2,0.533595453780572,40
12,Biased-prior,Biased-prior,3,0.458844286009855,40
12,Biased-prior,Biased-prior,4,0.384513277310825,40
12,Biased-prior,Biased-prior,5,0.308172492348968,40
12,Biased-prior,Biased-prior,6,0.205969494076782,40
12,Biased-prior,Biased-prior,7,0.080286969718239,40
12,Cost-to-sample,Biased-prior,1,-5.99772621622671,40
12,Cost-to-sample,Biased-prior,2,-5.99535067271594,40
12,Cost-to-sample,Biased-prior,3,-5.99737039028566,40
12,Cost-to-sample,Biased-prior,4,-6.00004780694356,40
12,Cost-to-sample,Biased-prior,5,-6.00267839394508,40
12,Cost-to-sample,Biased-prior,6,-6.0076451786247,40
12,Cost-to-sample,Biased-prior,7,-6.01632870521633,40
13,Biased-prior,Cost-to-sample,1,0.871630415359757,40
13,Biased-prior,Cost-to-sample,2,0.883040251120577,40
13,Biased-prior,Cost-to-sample,3,0.892998524700057,40
13,Biased-prior,Cost-to-sample,4,0.902044953532834,40
13,Biased-prior,Cost-to-sample,5,0.907442022025554,40
13,Biased-prior,Cost-to-sample,6,0.885464275748695,40
13,Biased-prior,Cost-to-sample,7,0.777854410065277,40
13,Cost-to-sample,Cost-to-sample,1,5.18883727309282,40
13,Cost-to-sample,Cost-to-sample,2,4.52786861892869,40
13,Cost-to-sample,Cost-to-sample,3,3.86927945162065,40
13,Cost-to-sample,Cost-to-sample,4,3.21322626619587,40
13,Cost-to-sample,Cost-to-sample,5,2.55513193409761,40
13,Cost-to-sample,Cost-to-sample,6,1.89056467070029,40
13,Cost-to-sample,Cost-to-sample,7,1.23582929082043,40
14,Biased-prior,Cut off,1,0.786310502168498,40
14,Biased-prior,Cut off,2,0.802477649450286,40
14,Biased-prior,Cut off,3,0.816926938747963,40
14,Biased-prior,Cut off,4,0.829976295757156,40
14,Biased-prior,Cut off,5,0.835989559899826,40
14,Biased-prior,Cut off,6,0.804265150479092,40
14,Biased-prior,Cut off,7,0.679842627400181,40
14,Cost-to-sample,Cut off,1,5.11741626664878,40
14,Cost-to-sample,Cut off,2,4.46840250654867,40
14,Cost-to-sample,Cut off,3,3.80583677506007,40
14,Cost-to-sample,Cut off,4,3.13451521720386,40
14,Cost-to-sample,Cut off,5,2.46534887293324,40
14,Cost-to-sample,Cut off,6,1.8027270578194,40
14,Cost-to-sample,Cut off,7,1.13648091107841,40
15,Biased-prior,Cost-to-sample,1,0.666682955436891,40
15,Biased-prior,Cost-to-sample,2,0.652089223576937,40
15,Biased-prior,Cost-to-sample,3,0.622634380341151,40
15,Biased-prior,Cost-to-sample,4,0.570552674372383,40
15,Biased-prior,Cost-to-sample,5,0.504991196692905,40
15,Biased-prior,Cost-to-sample,6,0.402130400158965,40
15,Biased-prior,Cost-to-sample,7,0.256945625868561,40
15,Cost-to-sample,Cost-to-sample,1,-58.3516901918617,40
15,Cost-to-sample,Cost-to-sample,2,-58.341190363995,40
15,Cost-to-sample,Cost-to-sample,3,-58.344527094979,40
15,Cost-to-sample,Cost-to-sample,4,-58.3547957533527,40
15,Cost-to-sample,Cost-to-sample,5,-58.3587399967949,40
15,Cost-to-sample,Cost-to-sample,6,-58.3687675025941,40
15,Cost-to-sample,Cost-to-sample,7,-58.3815313612824,40
16,Biased-prior,Biased-prior,1,0.671009929225401,40
16,Biased-prior,Biased-prior,2,0.690120943931195,40
16,Biased-prior,Biased-prior,3,0.707531315817795,40
16,Biased-prior,Biased-prior,4,0.719936778894366,40
16,Biased-prior,Biased-prior,5,0.718489711982238,40
16,Biased-prior,Biased-prior,6,0.675425907283301,40
16,Biased-prior,Biased-prior,7,0.536743823980617,40
16,Cost-to-sample,Biased-prior,1,1.70168084531825,40
16,Cost-to-sample,Biased-prior,2,1.53498532149429,40
16,Cost-to-sample,Biased-prior,3,1.36589239230368,40
16,Cost-to-sample,Biased-prior,4,1.18206734979655,40
16,Cost-to-sample,Biased-prior,5,0.983730638345953,40
16,Cost-to-sample,Biased-prior,6,0.769054924156218,40
16,Cost-to-sample,Biased-prior,7,0.528713329617048,40
17,Biased-prior,Biased-prior,1,0.82106759441362,40
17,Biased-prior,Biased-prior,2,0.834242705100678,40
17,Biased-prior,Biased-prior,3,0.846030828061611,40
17,Biased-prior,Biased-prior,4,0.856944446199568,40
17,Biased-prior,Biased-prior,5,0.865268115372306,40
17,Biased-prior,Biased-prior,6,0.849927312153503,40
17,Biased-prior,Biased-prior,7,0.747414881520281,40
17,Cost-to-sample,Biased-prior,1,1.49518180260912,40
17,Cost-to-sample,Biased-prior,2,1.37561359518349,40
17,Cost-to-sample,Biased-prior,3,1.254301550402,40
17,Cost-to-sample,Biased-prior,4,1.12521858073667,40
17,Cost-to-sample,Biased-prior,5,0.991448895788102,40
17,Cost-to-sample,Biased-prior,6,0.847717485193805,40
17,Cost-to-sample,Biased-prior,7,0.66742384241317,40
18,Biased-prior,Biased-prior,1,0.884773686125053,40
18,Biased-prior,Biased-prior,2,0.889928717799348,40
18,Biased-prior,Biased-prior,3,0.883046024354915,40
18,Biased-prior,Biased-prior,4,0.864069482509499,40
18,Biased-prior,Biased-prior,5,0.827339881900933,40
18,Biased-prior,Biased-prior,6,0.761098557829516,40
18,Biased-prior,Biased-prior,7,0.651439799697292,40
18,Cost-to-sample,Biased-prior,1,1.02804142783814,40
18,Cost-to-sample,Biased-prior,2,0.999795449702519,40
18,Cost-to-sample,Biased-prior,3,0.965942359603077,40
18,Cost-to-sample,Biased-prior,4,0.921222334130418,40
18,Cost-to-sample,Biased-prior,5,0.86363720142316,40
18,Cost-to-sample,Biased-prior,6,0.775179142441406,40
18,Cost-to-sample,Biased-prior,7,0.648381541372939,40
19,Biased-prior,Biased-prior,1,0.868961976923996,40
19,Biased-prior,Biased-prior,2,0.880219399362223,40
19,Biased-prior,Biased-prior,3,0.888652672599825,40
19,Biased-prior,Biased-prior,4,0.893145542380533,40
19,Biased-prior,Biased-prior,5,0.884476261382295,40
19,Biased-prior,Biased-prior,6,0.839437435037468,40
19,Biased-prior,Biased-prior,7,0.712782456803494,40
19,Cost-to-sample,Biased-prior,1,1.24328053358957,40
19,Cost-to-sample,Biased-prior,2,1.17088551117965,40
19,Cost-to-sample,Biased-prior,3,1.09908792444401,40
19,Cost-to-sample,Biased-prior,4,1.01869596730228,40
19,Cost-to-sample,Biased-prior,5,0.931005950932142,40
19,Cost-to-sample,Biased-prior,6,0.826740129970508,40
19,Cost-to-sample,Biased-prior,7,0.673153685136241,40
20,Biased-prior,Biased-prior,1,0.814583344585085,40
20,Biased-prior,Biased-prior,2,0.825999951289536,40
20,Biased-prior,Biased-prior,3,0.824749876391549,40
20,Biased-prior,Biased-prior,4,0.806801375035195,40
20,Biased-prior,Biased-prior,5,0.777507168499992,40
20,Biased-prior,Biased-prior,6,0.714778532721654,40
20,Biased-prior,Biased-prior,7,0.596822354488139,40
20,Cost-to-sample,Biased-prior,1,0.992251857937994,40
20,Cost-to-sample,Biased-prior,2,0.962827151516245,40
20,Cost-to-sample,Biased-prior,3,0.920923923596305,40
20,Cost-to-sample,Biased-prior,4,0.865604479577064,40
20,Cost-to-sample,Biased-prior,5,0.800142555463324,40
20,Cost-to-sample,Biased-prior,6,0.708592419233798,40
20,Cost-to-sample,Biased-prior,7,0.57402479893219,40
