Subject,Sequence,Model,BestFitModel,NPoints,LinearSlope,LinearR2,LinearBIC,QuadTerm,QuadR2,QuadBIC,DeltaBIC_QuadMinusLinear
2,4,Biased-prior,Biased-prior,4,-0.0394506550352166,0.958871533029815,-34.7927004850239,-0.00881840874524041,0.997200086174683,-44.1548535987983,-9.36215311377442
2,4,Cost-to-sample,Biased-prior,4,-0.0383528467712516,0.95706852467393,-34.8393282333896,-0.00898131458300997,0.999055793612495,-48.7210968858715,-13.8817686524819
2,5,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,7,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,8,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,8,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,9,Biased-prior,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,9,Cost-to-sample,Biased-prior,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,10,Biased-prior,Biased-prior,3,0.00700464848794414,0.788364908260131,-32.7315510446992,-0.00628604045256651,1,-108.130960167351,-75.3994091226523
2,10,Cost-to-sample,Biased-prior,3,0.00327291548633266,0.458945208353659,-32.8578462155188,-0.00615510721441531,1,-108.130960167351,-75.2731139518326
2,11,Biased-prior,Biased-prior,2,-0.0004672542173994,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,11,Cost-to-sample,Biased-prior,2,-0.0260489944449021,1,-72.0873067782343,NaN,NaN,NaN,NaN
2,12,Biased-prior,Biased-prior,5,-0.0119441173407892,0.661218974314824,-40.9342077457242,-0.00641072888772477,0.927892585625763,-47.0607552489927,-6.12654750326853
